patch_id,product,year,bug_id,description,is_security
ARCGIS-GEOEVENT-SERVER-10-9-1-PATCH-1-WI,ArcGIS GeoEvent Server,2022,BUG-000145944,: Event records with one or more null values are no longer supported by the 10.9 / 10.9.1 stream service output.,False
ARCGIS-GEOEVENT-SERVER-10-9-1-PATCH-1-WI,ArcGIS GeoEvent Server,2022,BUG-000146495,: Lack of query parameter throws null pointer exception.,False
ARCGIS-GEOEVENT-SERVER-10-9-1-PATCH-1-WI,ArcGIS GeoEvent Server,2022,BUG-000146611,: Field Enricher query fails for integer type values in where clause.,False
ARCGIS-GEOEVENT-SERVER-10-9-1-PATCH-1-WI,ArcGIS GeoEvent Server,2022,BUG-000146645,: GeoEvent Server loses connection with the GeoEvent Gateway causing GeoEvent Services and Outputs to stop functioning correctly.,False
ARCGIS-GEOEVENT-SERVER-10-9-1-PATCH-1-WI,ArcGIS GeoEvent Server,2022,BUG-000147023,: GeoEvent restart stability with custom components.,False
ARCGIS-GEOEVENT-SERVER-10-8-1-PATCH-4-WI,ArcGIS GeoEvent Server,2022,BUG-000144488,Following a reboot GeoEvent Gateway will periodically fail to restart in an operational state.,False
ARCGIS-GEOEVENT-SERVER-10-8-1-PATCH-4-WI,ArcGIS GeoEvent Server,2022,BUG-000145348,Update GeoEvent Server to replace unpatched Log4j libraries.,True
ARCGIS-GEOEVENT-SERVER-10-8-1-PATCH-4-WI,ArcGIS GeoEvent Server,2022,BUG-000146645,GeoEvent Server loses connection with the GeoEvent Gateway causing GeoEvent Services and Outputs to stop functioning correctly.,False
ARCGIS-GEOEVENT-SERVER-10-8-1-PATCH-4-WI,ArcGIS GeoEvent Server,2022,BUG-000147023,GeoEvent restart stability with custom components.,False
ARCGIS-GEOEVENT-SERVER-10-6-1-PATCH-3,ArcGIS GeoEvent Server,2022,BUG-000145348,: Update GeoEvent Server to replace unpatched Log4j libraries.,True
ARCGIS-DATA-STORE-LOG4J-PATCH,ArcGIS Data Store,2022,BUG-000145346,Update log4j to address security vulnerabilities. Please see ArcGIS Enterprise Log4j Security Patches Available for further details.,True
ARCGIS-DATA-INTEROPERABILITY-FOR-SERVER-,ArcGIS Data Interoperability for Server,2022,BUG-000145606,Log4J security vulnerability issues Please see ArcGIS Enterprise Log4j Security Patches Available for further details.,True
ARCGIS-WORKFLOW-MANAGER-SERVER-10-9-1-PA,ArcGIS Workflow Manager Server,2022,BUG-000145363,: Update Log4j to address security vulnerabilities.,True
PORTAL-FOR-ARCGIS-LOG4J-PATCH,Portal for ArcGIS,2022,BUG-000145347,Update log4j to address security vulnerabilities.,True
ARCGIS-NOTEBOOK-SERVER-SECURITY-PATCH,ArcGIS Notebook Server,2022,BUG-000147723,Update Log4j in ArcGIS Notebook Server to address security vulnerabilities.,True
ARCGIS-NOTEBOOK-SERVER-SECURITY-PATCH,ArcGIS Notebook Server,2022,BUG-000147725,Update ArcGIS Notebook server postinstallation utility to support updating notebook runtimes with new imageId.,False
ARCGIS-GEOENRICHMENT-SERVER-LOG4J-PATCH,ArcGIS GeoEnrichment Server,2022,BUG-000145426,Update log4j to address security vulnerabilities. Please see ArcGIS Enterprise Log4j Security Patches Available for further details.,True
ARCGIS-SERVER-MAP-SERVICE-SECURITY-2022-,ArcGIS Server,2022,BUG-000142376,Reflected Cross-Site Scripting (XSS) vulnerability in ArcGIS Server.,True
ARCGIS-SERVER-SECURITY-2022-UPDATE-1-PAT,ArcGIS Server,2022,BUG-000150540,Reflected XSS vulnerability in ArcGIS Server,True
ARCGIS-SERVER-SECURITY-2022-UPDATE-1-PAT,ArcGIS Server,2022,BUG-000150537,ArcGIS Server has a local file inclusion (LFI) vulnerability,True
ARCGIS-SERVER-SECURITY-2022-UPDATE-1-PAT,ArcGIS Server,2022,BUG-000148347,Unvalidated redirect issue in ArcGIS Server,True
ARCGIS-SERVER-SECURITY-2022-UPDATE-1-PAT,ArcGIS Server,2022,BUG-000146513,Reflected XSS vulnerability in ArcGIS Server,True
ARCGIS-SERVER-SECURITY-2022-UPDATE-1-PAT,ArcGIS Server,2022,BUG-000144172,Remote file download issue in ArcGIS Server,True
ARCGIS-SERVER-SECURITY-2022-UPDATE-2-PAT,ArcGIS Server,2022,BUG-000152121,Directory traversal vulnerability in ArcGIS Server.,True
ARCGIS-SERVER-SECURITY-2022-UPDATE-2-PAT,ArcGIS Server,2022,BUG-000144906,Unable to save a generated domain list or delete an existing domain list in Portal for ArcGIS. (10.9.1 only),False
PORTAL-FOR-ARCGIS-QUICKCAPTURE-SECURITY-,Portal for ArcGIS,2022,BUG-000145824,An unvalidated redirect occurs in ArcGIS QuickCapture web designer. Please refer to the blog post Portal for ArcGIS Quick Capture Security Patch for further details.,True
ARCGIS-SERVER-DIRECTORY-TRAVERSAL-VULNER,ArcGIS Server,2022,BUG-000152121,Directory traversal vulnerability in ArcGIS Server,True
ARCGIS-INSIGHTS-SECURITY-PATCH-FOR-ARCGI,ArcGIS Insights (Desktop),2023,BUG-000157278,ArcGIS Insights has a security vulnerability.,True
ARCGIS-SERVER-SECURITY-2023-UPDATE-1-PAT,ArcGIS Server,2023,BUG-000154070,Stored XSS issue in the ArcGIS REST Services directory,True
ARCGIS-SERVER-SECURITY-2023-UPDATE-1-PAT,ArcGIS Server,2023,BUG-000158075,Stored XSS issue in ArcGIS Server,True
ARCGIS-SERVER-SECURITY-2023-UPDATE-1-PAT,ArcGIS Server,2023,BUG-000155043,"Append operation on an editor tracking enabled layer, updates created user field with editing user when upsert=true and skipInserts=true (10.9.1, 10.8.1 only)",False
ARCGIS-SERVER-SECURITY-2023-UPDATE-1-PAT,ArcGIS Server,2023,BUG-000154221,"After installing the ArcGIS for Server Security 2022 Update 1 or 2 Patch , the KML region URL of a map service is invalid.",False
