patch_id,product,year,release_date,title,url,replaced_by,security_label,security_bugs,security_mentions_without_bug_id
ARCGIS-SERVER-SECURITY-2022-UPDATE-2-PAT,ArcGIS Server,2022,2022-10-04,ArcGIS Server Security 2022 Update 2 Patch,https://support.esri.com/en-us/patches-updates/2022/arcgis-server-security-2022-update-2-patch-8064,,yes,1,0
PORTAL-FOR-ARCGIS-QUICKCAPTURE-SECURITY-,Portal for ArcGIS,2022,2022-10-10,Portal for ArcGIS QuickCapture Security Patch,https://support.esri.com/en-us/patches-updates/2022/portal-for-arcgis-quickcapture-security-patch-8051,,yes,1,0
ARCGIS-SERVER-DIRECTORY-TRAVERSAL-VULNER,ArcGIS Server,2022,2022-10-14,ArcGIS Server Directory Traversal Vulnerability Patch,https://support.esri.com/en-us/patches-updates/2022/arcgis-server-directory-traversal-vulnerability-patch-8063,,yes,1,0
ARCGIS-INSIGHTS-SECURITY-PATCH-FOR-ARCGI,ArcGIS Insights (Desktop),2023,2023-06-23,ArcGIS Insights Security Patch for ArcGIS Insights 2022.1,https://support.esri.com/en-us/patches-updates/2023/arcgis-insights-security-patch-for-arcgis-insights-2022-1-8104,,yes,1,0
ARCGIS-SERVER-SECURITY-2023-UPDATE-1-PAT,ArcGIS Server,2023,2023-07-20,ArcGIS Server Security 2023 Update 1 Patch,https://support.esri.com/en-us/patches-updates/2023/arcgis-server-security-2023-update-1-patch,,yes,2,0
ARCGIS-SERVER-MAP-AND-FEATURE-SERVICE-SE,ArcGIS Server,2023,2023-11-20,ArcGIS Server Map and Feature Service Security 2023 Update 1 Patch,https://support.esri.com/en-us/patches-updates/2023/arcgis-server-map-and-feature-service-security-2023-update-1-patch,,yes,1,0
PORTAL-FOR-ARCGIS-ENTERPRISE-SITES-SECUR,Portal for ArcGIS,2024,2024-03-21,Portal for ArcGIS Enterprise Sites Security Patch,https://support.esri.com/en-us/patches-updates/2023/portal-for-arcgis-enterprise-sites-security-patch,,yes,1,0
PORTAL-FOR-ARCGIS-SECURITY-2024-UPDATE-2,Portal for ArcGIS,2025,2025-01-14,Portal for ArcGIS Security 2024 Update 2 Patch,https://support.esri.com/en-us/patches-updates/2024/portal-for-arcgis-security-2024-update-2-patch,,yes,12,0
ARCGIS-SERVER-SECURITY-2025-UPDATE-1,ArcGIS Server,2025,2025-04-17,ArcGIS Server Security 2025 Update 1,https://support.esri.com/en-us/patches-updates/2025/arcgis-server-security-2025-update-1,,yes,25,0
PORTAL-FOR-ARCGIS-ENTERPRISE-SITES-SECUR,Portal for ArcGIS,2025,2025-08-07,Portal for ArcGIS Enterprise Sites Security 2025 Update 1 Patch,https://support.esri.com/en-us/patches-updates/2025/portal-for-arcgis-enterprise-sites-security-2025-update-1-patch,,yes,5,0
ARCGIS-SERVER-FEATURE-SERVICES-SECURITY-,ArcGIS Server,2025,2025-10-07,ArcGIS Server Feature Services Security Patch,https://support.esri.com/en-us/patches-updates/2025/arcgis-server-feature-services-security-patch,,yes,1,0
ARCGIS-WEB-ADAPTOR-IIS-STABILITY-PATCH,ArcGIS Web Adaptor,2025,2025-10-20,ArcGIS Web Adaptor (IIS) Stability Patch,https://support.esri.com/en-us/patches-updates/2025/arcgis-web-adaptor-iis-stability-patch,,partial,0,0
ARCGIS-SERVER-SECURITY-2025-UPDATE-2-PAT,ArcGIS Server,2025,2025-12-09,ArcGIS Server Security 2025 Update 2 Patch,https://support.esri.com/en-us/patches-updates/2025/arcgis-server-security-2025-update-2-patch,,yes,9,0
PORTAL-FOR-ARCGIS-SECURITY-2025-UPDATE-3,Portal for ArcGIS,2025,2025-12-11,Portal for ArcGIS Security 2025 Update 3 Patch,https://support.esri.com/en-us/patches-updates/2025/portal-for-arcgis-security-2025-update-3-patch,,yes,25,0
ARCGIS-DATA-STORE-11-5-RELIABILITY-PATCH,ArcGIS Data Store,2026,2026-02-10,ArcGIS Data Store 11.5 Reliability Patch,https://support.esri.com/en-us/patches-updates/2026/arcgis-data-store-11-5-reliability-patch,,partial,0,0
ARCGIS-WORKFLOW-MANAGER-SERVER-11-3-PATC,ArcGIS Workflow Manager Server,2026,2026-02-25,ArcGIS Workflow Manager Server 11.3 Patch 3,https://support.esri.com/en-us/patches-updates/2026/arcgis-workflow-manager-server-11-3-patch-3,,partial,0,1
ARCGIS-SERVER-SECURITY-2026-UPDATE-1-PAT,ArcGIS Server,2026,2026-05-04,ArcGIS Server Security 2026 Update 1 Patch,https://support.esri.com/en-us/patches-updates/2026/arcgis-server-security-2026-update-1-patch,,yes,2,0
ARCGIS-SERVER-SECURITY-2026-UPDATE-2-PAT,ArcGIS Server,2026,2026-05-27,ArcGIS Server Security 2026 Update 2 Patch,https://support.esri.com/en-us/patches-updates/2026/arcgis-server-security-2026-update-2-patch,,yes,2,0
PORTAL-FOR-ARCGIS-SECURITY-2025-UPDATE-2,Portal for ArcGIS,2026,2026-05-28,Portal for ArcGIS Security 2025 Update 2 Patch,https://support.esri.com/en-us/patches-updates/2025/portal-for-arcgis-security-2025-update-2-patch,,yes,1,0
PORTAL-FOR-ARCGIS-SECURITY-2026-UPDATE-1,Portal for ArcGIS,2026,2026-06-04,Portal for ArcGIS Security 2026 Update 1 Patch,https://support.esri.com/en-us/patches-updates/2026/portal-for-arcgis-security-2026-update-1-patch,,yes,2,0
PORTAL-FOR-ARCGIS-SECURITY-2026-UPDATE-2,Portal for ArcGIS,2026,2026-06-23,Portal for ArcGIS Security 2026 Update 2 Patch,https://support.esri.com/en-us/patches-updates/2026/portal-for-arcgis-security-2026-update-2-patch,,yes,1,0
ARCGIS-WORKFLOW-MANAGER-SERVER-11-5-PATC,ArcGIS Workflow Manager Server,2026,2026-07-21,ArcGIS Workflow Manager Server 11.5 Patch 1,https://support.esri.com/en-us/patches-updates/2026/arcgis-workflow-manager-server-11-5-patch-1,,partial,0,1
PORTAL-FOR-ARCGIS-SECURITY-2026-UPDATE-3,Portal for ArcGIS,2026,2026-08-04,Portal for ArcGIS Security 2026 Update 3 Patch,https://support.esri.com/en-us/patches-updates/2026/portal-for-arcgis-security-2026-update-3-patch,,yes,13,0
